Module	Section	Sample Name	Source
Salmon	all_sections	quant_results | trimmed_KO_SRR13633858 | libParams | trimmed_KO_SRR13633858	/home/moji-lin/rna-seq-reanalysis/data/processed/quant_results/trimmed_KO_SRR13633858/libParams/flenDist.txt
Salmon	all_sections	quant_results | trimmed_KO_SRR13633859 | libParams | trimmed_KO_SRR13633859	/home/moji-lin/rna-seq-reanalysis/data/processed/quant_results/trimmed_KO_SRR13633859/libParams/flenDist.txt
Salmon	all_sections	quant_results | trimmed_KO_SRR13633860 | libParams | trimmed_KO_SRR13633860	/home/moji-lin/rna-seq-reanalysis/data/processed/quant_results/trimmed_KO_SRR13633860/libParams/flenDist.txt
Salmon	all_sections	quant_results | trimmed_WT_SRR13633855 | libParams | trimmed_WT_SRR13633855	/home/moji-lin/rna-seq-reanalysis/data/processed/quant_results/trimmed_WT_SRR13633855/libParams/flenDist.txt
Salmon	all_sections	quant_results | trimmed_WT_SRR13633856 | libParams | trimmed_WT_SRR13633856	/home/moji-lin/rna-seq-reanalysis/data/processed/quant_results/trimmed_WT_SRR13633856/libParams/flenDist.txt
Bowtie 2 / HiSAT2	all_sections	processed | Bam_related_logs | logs_trimmed_KO_SRR13633857 | trimmed_KO_SRR13633857	/home/moji-lin/rna-seq-reanalysis/data/processed/Bam_related_logs/logs_trimmed_KO_SRR13633857/trimmed_KO_SRR13633857.hisat2.log
Bowtie 2 / HiSAT2	all_sections	processed | Bam_related_logs | logs_trimmed_KO_SRR13633858 | trimmed_KO_SRR13633858	/home/moji-lin/rna-seq-reanalysis/data/processed/Bam_related_logs/logs_trimmed_KO_SRR13633858/trimmed_KO_SRR13633858.hisat2.log
Bowtie 2 / HiSAT2	all_sections	processed | Bam_related_logs | logs_trimmed_KO_SRR13633859 | trimmed_KO_SRR13633859	/home/moji-lin/rna-seq-reanalysis/data/processed/Bam_related_logs/logs_trimmed_KO_SRR13633859/trimmed_KO_SRR13633859.hisat2.log
Bowtie 2 / HiSAT2	all_sections	processed | Bam_related_logs | logs_trimmed_KO_SRR13633860 | trimmed_KO_SRR13633860	/home/moji-lin/rna-seq-reanalysis/data/processed/Bam_related_logs/logs_trimmed_KO_SRR13633860/trimmed_KO_SRR13633860.hisat2.log
Bowtie 2 / HiSAT2	all_sections	processed | Bam_related_logs | logs_trimmed_WT_SRR13633855 | trimmed_WT_SRR13633855	/home/moji-lin/rna-seq-reanalysis/data/processed/Bam_related_logs/logs_trimmed_WT_SRR13633855/trimmed_WT_SRR13633855.hisat2.log
Bowtie 2 / HiSAT2	all_sections	processed | Bam_related_logs | logs_trimmed_WT_SRR13633856 | trimmed_WT_SRR13633856	/home/moji-lin/rna-seq-reanalysis/data/processed/Bam_related_logs/logs_trimmed_WT_SRR13633856/trimmed_WT_SRR13633856.hisat2.log
